step;ros_timestamp;ft_wrench_fx;ft_wrench_fy;ft_wrench_fz;ft_wrench_tx;ft_wrench_ty;ft_wrench_tz;current_absolute_pose_x;current_absolute_pose_y;current_absolute_pose_z;current_twist_vx;current_twist_vy;current_twist_vz;current_twist_wx;current_twist_wy;current_twist_wz;action_f_x;action_f_y;action_f_z;action_t_x;action_t_y;action_t_z;reward
48;1,6671;0,021821752;0,04512223;0,035628747;-0,06056892;0,04892982;0,13517968;0,62429535;0,12991197;0,5385451;0,009419364;0,043582685;;-0,25660434;-0,023532141;-0,035162874;0,10489102;0,30472505;0,036751192;-0,20256399;-0,7145778;0,3397451;0,0
49;1,7071;0,014859411;0,03968902;0,013862071;-0,04826649;0,037874453;0,13551375;0,6244025;0,13032047;0,5385954;0,01213006;0,04603976;0,0033628452;-0,2588572;-0,023189995;-0,013615709;0,08560817;0,30873063;0,055462647;-0,20289615;-0,69737554;0,3453903;0,0
50;1,7471;0,026999447;;0,034092955;-0,053296078;0,05333224;0,13071522;0,6245295;0,13076726;0,5385956;0,012768657;0,048132766;0,0048325984;-0,26015434;-0,02305803;0,0019177025;0,08082816;0,32690176;0,076084785;-0,21433622;-0,75297844;0,3310633;0,0
51;1,7772;0,00971744;0,042391773;;-0,05713434;0,031803753;0,13331796;0,6246042;0,13106629;0,53867394;0,012762345;0,049827475;0,00623906;-0,26390597;-0,021605143;0,009377762;0,08554373;0,3398138;0,09389877;-0,20784372;-0,74903256;0,3284233;0,0
52;1,8071;0,043660857;0,043103073;-0,009099376;-0,06605836;0,108379595;0,13366288;0,62468004;0,13144489;0,5387359;0,012435272;0,05240383;0,008891745;-0,2666065;-0,021337038;0,0155660035;0,0847852;0,34535158;0,101887524;-0,20342502;-0,75803006;0,29216257;0,0
53;1,8472;0,15478006;0,059758775;-0,16910562;-0,105776854;0,404199;;0,6247575;0,13190182;0,538843;0,010429751;0,052750934;;;-0,014971266;0,0039755115;0,090697475;0,3455835;0,10211946;-0,20339333;-0,75733304;0,29259825;0,0
54;1,8771;0,2201809;0,085303776;-0,31168523;-0,17318304;0,602156;0,13358358;0,6247675;0,13223161;0,53891176;0,006760248;0,051800556;0,010261156;-0,26186854;-0,008527692;-0,019705908;0,10188552;0,3459851;0,09026616;-0,20320833;-0,7042434;0,295142;0,0
55;1,9171;;0,09170477;-0,43993315;-0,21703045;0,78830695;0,13793541;0,62473;0,1326339;0,5389814;0,0006982991;0,049102947;0,0087198485;-0,25649294;0,009030062;-0,06410551;0,087889016;0,33852163;0,09750855;-0,18954396;-0,6977451;0,29409721;0,0
56;1,9572;0,2758171;0,10755746;-0,44342715;-0,25006443;0,8061302;0,13533689;0,6246528;0,13303882;0,5390438;-0,005276761;0,046741296;0,007532193;;;-0,10027107;0,08174547;0,31530923;0,09390399;-0,18921164;-0,7149436;0,28845438;0,0
57;1,9971;0,21464872;0,09214217;-0,29877654;-0,21469544;0,6100421;0,13538086;0,62454057;0,13340396;0,5391384;;;0,0065305843;-0,2398413;0,033792853;-0,1224987;0,07242004;0,31051853;0,09646624;-0,18892424;-0,68411094;0,28219375;0,0
58;2,0271;0,0517689;;-0,083702706;-0,0664118;0,174919;0,13709001;0,6244922;0,1337292;0,5392286;-0,0075728837;;0,0075303805;;0,029279837;-0,111261964;0,0845756;0,2968058;0,0974594;-0,18434797;-0,66513246;0,29405528;0,0
59;2,0571;0,017471207;0,05122941;-0,0044286223;-0,08371814;0,043715272;0,13722889;0,62452;0,13407788;0,5393337;-0,0028378803;0,0456333;0,009603482;-0,23685457;0,016183566;-0,078391194;0,10385579;0,28511885;0,08332145;-0,17090023;-0,6143802;0,29513818;0,0
60;2,0972;0,027254641;0,03300828;0,029170405;-0,04936137;0,05778383;0,13421604;0,62456083;0,13449378;0,5395053;0,0029673658;0,046766825;0,011087941;-0,23196912;0,003739724;-0,04310054;0,12795115;0,29402778;0,09468138;-0,17098692;-0,6162873;0,27862763;0,0
61;2,1272;0,021271423;0,028131142;0,01201117;-0,0404738;0,048622135;0,13568112;0,6246441;0,13483052;0,53956956;0,0072526904;0,0473393;0,012051981;-0,22742361;;-0,025316525;0,12968943;0,29628062;0,104287155;-0,1710643;-0,61798996;0,26735106;0,0
62;2,1572;0,007906309;0,048633624;0,00994379;-0,07586506;0,019104965;0,13593599;0,6247633;0,13515717;0,5396135;0,010644499;0,047899418;;-0,22416137;;-0,012974866;0,1320031;0,30478835;0,1103439;-0,17802256;-0,6321828;0,2533743;0,0
63;2,1871;0,017267657;0,041340526;0,00948884;-0,06212558;0,046392754;0,13526149;0,62487084;0,13547094;0,5396742;;0,049004868;0,014176725;-0,22363769;-0,010935484;-0,0015048052;0,12827298;0,30304897;0,101251595;-0,17153482;-0,62834114;0,25066915;0,0
64;2,2171;0,0103728175;0,04609985;0,011845407;-0,07436413;;0,13502766;0,6250109;0,1358452;0,5397289;0,015649911;0,049790893;0,014811059;-0,22249138;-0,013244073;0,006268951;0,11096715;0,31103778;0,10678941;-0,17186068;-0,61100024;0,24618858;0,0
65;2,2471;0,00035046277;0,046561427;0,016007276;-0,07269192;0,014126561;0,13196164;0,6250939;0,13619475;0,5398636;0,016378004;0,05065222;0,015544912;-0,22054702;-0,016068736;0,011501509;0,079058975;0,3276255;0,12827912;-0,17879876;-0,657429;0,25291407;0,0
66;2,2972;0,09509734;0,08742738;-0,12136996;-0,1790445;;0,1298278;0,625285;0,13674876;0,5400225;0,0154984;0,051713135;0,016714875;-0,22122064;-0,017276285;0,013266171;0,062554836;0,3260692;0,11936986;-0,19005811;-0,66003674;0,26149663;0,0
67;2,3371;0,22945528;0,14206591;-0,3486815;-0,34510443;0,662789;;0,62528926;0,13717341;0,5401662;0,0088862;0,04990495;0,014885688;-0,22201094;0,003468976;-0,020048179;0,08310515;0,3201537;0,11590536;-0,18332776;-0,6426881;0,26723334;0,0
68;2,3771;0,3510075;0,16587733;-0,5457182;-0,4043627;1,0;0,12798046;0,62522846;0,13755727;0,5402514;-0,00033233195;0,046283696;0,011391595;-0,21968038;0,031578038;-0,07245266;0,10230119;0,31459537;0,12015094;-0,18981354;-0,6791659;0,26485956;0,0
69;2,4071;0,32521397;0,11785476;-0,5820077;-0,30437234;0,96602684;0,12690635;0,6251407;0,13784151;0,54029405;-0,0067320843;0,042691935;0,009633954;-0,21847682;0,046342403;;0,106303565;0,31297067;0,120977215;-0,19638571;-0,660355;0,25619155;0,0
70;2,4371;0,27285695;0,1228319;-0,5371973;-0,29401565;;0,13319707;0,62503123;0,13811335;0,540387;-0,01137714;0,04061724;0,009007458;-0,22098018;0,05175622;-0,14464112;0,12579358;0,29902437;0,11928582;-0,19606173;-0,65322745;0,26064625;0,0
71;2,4671;0,15527484;0,06262827;-0,28028917;-0,14838618;0,49373072;0,13483942;0,62496006;0,13837373;0,54049534;-0,011757245;0,040015116;0,009391396;-0,22487001;0,049726814;-0,14902733;0,12028696;0,29982543;0,12498884;-0,19586396;-0,62436664;0,26336563;0,0
72;2,4971;0,04432149;0,039228;-0,021747613;-0,068251535;0,13982971;0,13548452;0,6249362;0,13870192;0,54065096;-0,0070035127;0,041352663;0,011455746;-0,23027442;0,037230343;-0,12491949;0,10094844;0,28912947;0,1363517;-0,18890084;-0,63457674;0,2569843;0,0
73;2,547;0,009560594;0,0413877;-0,00019059198;-0,058991726;;0,13682343;0,62503386;0,13926497;0,54088753;0,00303971;0,04502325;0,015262866;-0,23667222;0,015275406;-0,06377473;0,07951691;0,29258862;0,15206574;-0,18874446;-0,65564615;0,25913456;0,0
74;2,5772;0,016592374;0,03876895;-0,00022124972;-0,059323896;0,040120136;0,13929471;0,6250762;0,13956267;0,54103297;0,0055831536;0,046261095;0,017762572;-0,23779063;0,004504443;-0,040338013;0,05398024;0,30795452;0,17478457;-0,18874864;-0,68024784;0,24375848;0,0
75;2,6171;0,027717423;0,042095773;0,03692614;-0,06842672;;0,13570532;0,6251704;0,13996767;0,54114187;0,0068228184;0,047762785;0,02077915;;-0,0035569048;-0,020085063;0,06251835;0,31839153;0,17051572;-0,19559698;-0,7001923;0,24150564;0,0
76;2,6472;0,010606544;0,033059034;0,026833277;-0,056424852;0,02361315;0,13493372;0,625252;0,140353;0,5412257;0,007516952;0,049332023;0,0228412;-0,24093886;-0,008590604;-0,008456213;0,07189909;0,30636764;0,17074671;-0,19569936;-0,7024449;0,22988534;0,0
77;2,6771;0,027561065;0,031834226;0,044780858;-0,056111947;0,056541603;0,13280183;0,6253464;0,14064161;0,54134846;0,008545566;0,050246734;0,024258655;-0,24375242;-0,011853682;0,00015775088;0,09246125;0,31166825;0,1809493;-0,19601133;-0,73381805;0,23580815;0,0
78;2,7071;0,01419536;0,04938709;0,0066546546;-0,07679702;0,03857961;0,13423729;0,6254298;0,14098385;0,5415155;0,010170561;0,050752863;0,02552057;;-0,013363274;0,0053822505;0,09577147;0,31871623;0,18554628;-0,21403722;-0,7790805;0,22283773;0,0
79;2,7472;0,018233348;0,044327907;-0,0014220078;-0,06569581;0,039924555;0,13239439;0,6255323;0,14146529;0,5418016;0,011964622;0,05156473;0,027043423;-0,2529206;-0,015112561;0,010155664;0,1038062;0,2931922;0,16982618;-0,21433638;-0,78566194;0,22893679;0,0
80;2,7871;0,047449715;0,085591026;-0,087895565;-0,17582706;0,14818738;0,13408358;0,6256521;0,14190586;0,54202616;0,012349917;0,050639674;0,02680925;-0,2611165;-0,011839735;0,0072264946;0,08927477;0,28763318;0,16671814;-0,196703;-0,7735446;0,22629768;0,0
81;2,8271;0,1495396;0,10484044;-0,24014029;-0,25365365;0,4172155;0,13303976;0,62569726;0,14232555;0,5422557;0,01010021;0,0484244;0,024900788;-0,25935143;0,0019160503;-0,009354957;0,06553149;0,27964765;0,16853653;-0,1967405;-0,79887915;0,22578223;0,0
82;2,857;0,22441658;0,20469463;-0,38439542;-0,49853063;0,65213454;0,13104664;0,62569463;0,14258705;0,5423979;0,005185093;0,045470804;0,022641676;;0,01881002;-0,03592579;0,05232568;0,27531832;0,17156014;-0,18992956;-0,7797577;0,21730831;0,0
83;2,8871;0,19181976;0,15339294;-0,43009496;-0,38042086;0,57331735;0,1293745;0,62561315;0,14285827;0,5425155;-0,0012680419;0,042640496;0,020047598;-0,24498801;0,039085314;-0,06389723;0,050081298;0,27411655;0,17280936;-0,18983911;-0,77776754;0,22876458;0,0
84;2,9171;0,19746736;0,16557336;-0,34472904;-0,41388363;0,5667968;0,13127755;0,6255201;0,14316435;0,5426598;-0,0062476406;0,041591894;;-0,23981753;0,046570536;-0,07526558;0,055918172;0,2791303;0,192529;-0,1895437;-0,7957784;0,21750778;0,0
85;2,9471;0,16700087;0,19768089;-0,2961483;-0,49050796;0,5260808;;0,62544733;0,1434123;0,5428192;-0,008507712;0,0401896;0,01820068;-0,23471181;0,06031489;-0,08855167;0,070218146;0,2803344;0,19863507;-0,20048441;-0,84856546;0,21004693;0,0
